Name,level,ingredient,berry,ing% min,ing% max,berry% min,berry% max,m min,m max,density,Pokemon sum of densities,Level sum of densities
Ivysaur,14,4,6,0.23871507884854537,0.30691938709098693,0.750247390666857,0.88665600715174,2.2152759317145017,2.6736088831037086,1.0,6.778489116517285,1.0
Ivysaur,13,4,6,0.23871507884854537,0.30691938709098693,0.750247390666857,0.88665600715174,2.2152759317145017,2.6736088831037086,0.9577464788732394,6.778489116517285,0.9577464788732394
Ivysaur,12,3,5,0.17051077060610384,0.23871507884854537,0.6138387741819739,0.750247390666857,1.7569429803252943,2.2152759317145017,0.002560819462227913,6.778489116517285,0.8399487836107554
Ivysaur,12,4,6,0.23871507884854537,0.30691938709098693,0.750247390666857,0.88665600715174,2.2152759317145017,2.6736088831037086,0.8373879641485276,6.778489116517285,0.8399487836107554
Ivysaur,11,3,5,0.17051077060610384,0.23871507884854537,0.6138387741819739,0.750247390666857,1.7569429803252943,2.2152759317145017,0.014084507042253521,6.778489116517285,0.7400768245838668
Ivysaur,11,4,6,0.23871507884854537,0.30691938709098693,0.750247390666857,0.88665600715174,2.2152759317145017,2.6736088831037086,0.7259923175416133,6.778489116517285,0.7400768245838668
Ivysaur,10,3,5,0.17051077060610384,0.23871507884854537,0.6138387741819739,0.750247390666857,1.7569429803252943,2.2152759317145017,0.01792573623559539,6.778489116517285,0.6325224071702944
Ivysaur,10,4,6,0.23871507884854537,0.30691938709098693,0.750247390666857,0.88665600715174,2.2152759317145017,2.6736088831037086,0.614596670934699,6.778489116517285,0.6325224071702944
Ivysaur,9,3,5,0.17051077060610384,0.23871507884854537,0.6138387741819739,0.750247390666857,1.7569429803252943,2.2152759317145017,0.03713188220230474,6.778489116517285,0.5428937259923176
Ivysaur,9,4,6,0.23871507884854537,0.30691938709098693,0.750247390666857,0.88665600715174,2.2152759317145017,2.6736088831037086,0.5057618437900128,6.778489116517285,0.5428937259923176
Ivysaur,8,3,5,0.17051077060610384,0.23871507884854537,0.6138387741819739,0.750247390666857,1.7569429803252943,2.2152759317145017,0.04865556978233035,6.778489116517285,0.44302176696542894
Ivysaur,8,4,6,0.23871507884854537,0.30691938709098693,0.750247390666857,0.88665600715174,2.2152759317145017,2.6736088831037086,0.39436619718309857,6.778489116517285,0.44302176696542894
Ivysaur,7,3,5,0.17051077060610384,0.23871507884854537,0.6138387741819739,0.750247390666857,1.7569429803252943,2.2152759317145017,0.07682458386683738,6.778489116517285,0.36363636363636365
Ivysaur,7,4,6,0.23871507884854537,0.30691938709098693,0.750247390666857,0.88665600715174,2.2152759317145017,2.6736088831037086,0.28681177976952626,6.778489116517285,0.36363636363636365
Ivysaur,6,3,5,0.17051077060610384,0.23871507884854537,0.6138387741819739,0.750247390666857,1.7569429803252943,2.2152759317145017,0.10627400768245839,6.778489116517285,0.30985915492957744
Ivysaur,6,4,6,0.23871507884854537,0.30691938709098693,0.750247390666857,0.88665600715174,2.2152759317145017,2.6736088831037086,0.20358514724711907,6.778489116517285,0.30985915492957744
Ivysaur,5,3,5,0.17051077060610384,0.23871507884854537,0.6138387741819739,0.750247390666857,1.7569429803252943,2.2152759317145017,0.12419974391805377,6.778489116517285,0.21895006402048656
Ivysaur,5,4,6,0.23871507884854537,0.30691938709098693,0.750247390666857,0.88665600715174,2.2152759317145017,2.6736088831037086,0.09475032010243278,6.778489116517285,0.21895006402048656
Ivysaur,1,3,5,0.17051077060610384,0.23871507884854537,0.6138387741819739,0.750247390666857,1.7569429803252943,2.2152759317145017,0.20998719590268886,6.778489116517285,0.20998719590268886
Ivysaur,2,3,5,0.17051077060610384,0.23871507884854537,0.6138387741819739,0.750247390666857,1.7569429803252943,2.2152759317145017,0.18950064020486557,6.778489116517285,0.18950064020486557
Ivysaur,3,3,5,0.17051077060610384,0.23871507884854537,0.6138387741819739,0.750247390666857,1.7569429803252943,2.2152759317145017,0.17285531370038412,6.778489116517285,0.17285531370038412
Ivysaur,4,3,5,0.17051077060610384,0.23871507884854537,0.6138387741819739,0.750247390666857,1.7569429803252943,2.2152759317145017,0.15749039692701663,6.778489116517285,0.15749039692701663
Gastly,14,2,6,0.11780734333696745,0.19634557222827909,0.863920517804428,1.0209969755870512,2.199070408956726,2.72684730710634,0.17996987951807228,0.7223268072289156,0.17996987951807228
Gastly,13,2,6,0.11780734333696745,0.19634557222827909,0.863920517804428,1.0209969755870512,2.199070408956726,2.72684730710634,0.15549698795180722,0.7223268072289156,0.15549698795180722
Gastly,12,2,6,0.11780734333696745,0.19634557222827909,0.863920517804428,1.0209969755870512,2.199070408956726,2.72684730710634,0.12989457831325302,0.7223268072289156,0.12989457831325302
Gastly,11,2,6,0.11780734333696745,0.19634557222827909,0.863920517804428,1.0209969755870512,2.199070408956726,2.72684730710634,0.10128012048192771,0.7223268072289156,0.10128012048192771
Gastly,10,2,6,0.11780734333696745,0.19634557222827909,0.863920517804428,1.0209969755870512,2.199070408956726,2.72684730710634,0.07417168674698796,0.7223268072289156,0.07417168674698796
Gastly,9,2,6,0.11780734333696745,0.19634557222827909,0.863920517804428,1.0209969755870512,2.199070408956726,2.72684730710634,0.04800451807228916,0.7223268072289156,0.04800451807228916
Gastly,8,2,6,0.11780734333696745,0.19634557222827909,0.863920517804428,1.0209969755870512,2.199070408956726,2.72684730710634,0.024284638554216868,0.7223268072289156,0.024284638554216868
Gastly,1,1,5,0.03926911444565582,0.11780734333696745,0.7068440600218047,0.863920517804428,1.6712935108071116,2.199070408956726,0.0030120481927710845,0.7223268072289156,0.0030120481927710845
Gastly,2,1,5,0.03926911444565582,0.11780734333696745,0.7068440600218047,0.863920517804428,1.6712935108071116,2.199070408956726,0.002259036144578313,0.7223268072289156,0.002259036144578313
Gastly,3,1,5,0.03926911444565582,0.11780734333696745,0.7068440600218047,0.863920517804428,1.6712935108071116,2.199070408956726,0.0018825301204819277,0.7223268072289156,0.0018825301204819277
Gastly,4,1,5,0.03926911444565582,0.11780734333696745,0.7068440600218047,0.863920517804428,1.6712935108071116,2.199070408956726,0.0009412650602409639,0.7223268072289156,0.0009412650602409639
Gastly,5,1,5,0.03926911444565582,0.11780734333696745,0.7068440600218047,0.863920517804428,1.6712935108071116,2.199070408956726,0.0007530120481927711,0.7223268072289156,0.0007530120481927711
Gastly,6,1,5,0.03926911444565582,0.11780734333696745,0.7068440600218047,0.863920517804428,1.6712935108071116,2.199070408956726,0.00037650602409638556,0.7223268072289156,0.00037650602409638556
Butterfree,14,2,16,0.16121016819164316,0.26868361365273863,0.8329192023234897,0.8866559250540375,2.226849789953898,2.587960566703179,0.0964074579354252,0.2980900409276944,0.0964074579354252
Butterfree,13,2,16,0.16121016819164316,0.26868361365273863,0.8329192023234897,0.8866559250540375,2.226849789953898,2.587960566703179,0.071168713051387,0.2980900409276944,0.071168713051387
Butterfree,12,2,16,0.16121016819164316,0.26868361365273863,0.8329192023234897,0.8866559250540375,2.226849789953898,2.587960566703179,0.03979081400636653,0.2980900409276944,0.03979081400636653
Butterfree,11,2,16,0.16121016819164316,0.26868361365273863,0.8329192023234897,0.8866559250540375,2.226849789953898,2.587960566703179,0.017507958162801273,0.2980900409276944,0.017507958162801273
Butterfree,1,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.01455206912232833,0.2980900409276944,0.01455206912232833
Butterfree,2,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.01273306048203729,0.2980900409276944,0.01273306048203729
Butterfree,3,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.010914051841746248,0.2980900409276944,0.010914051841746248
Butterfree,4,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.008640291041382447,0.2980900409276944,0.008640291041382447
Butterfree,5,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.007730786721236926,0.2980900409276944,0.007730786721236926
Butterfree,6,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.0068212824010914054,0.2980900409276944,0.0068212824010914054
Butterfree,7,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.005457025920873124,0.2980900409276944,0.005457025920873124
Butterfree,8,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.0036380172805820826,0.2980900409276944,0.0036380172805820826
Butterfree,9,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.0020463847203274215,0.2980900409276944,0.0020463847203274215
Butterfree,10,1,15,0.05373672273054772,0.16121016819164316,0.779182479592942,0.8329192023234897,1.8657390132046172,2.226849789953898,0.0006821282401091405,0.2980900409276944,0.0006821282401091405
